frequency_hz,level_db
2654.30,-75.84
2657.23,-80.11
2660.16,-77.49
2663.09,-76.11
2666.02,-77.75
2668.95,-76.23
2671.88,-76.74
2674.80,-78.57
2677.73,-78.91
2680.66,-76.38
2683.59,-73.29
2686.52,-75.98
2689.45,-76.17
2692.38,-74.00
2695.31,-73.60
2698.24,-81.49
2701.17,-78.80
2704.10,-72.95
2707.03,-74.72
2709.96,-80.11
2712.89,-77.11
2715.82,-74.73
2718.75,-76.68
2721.68,-76.34
2724.61,-81.67
2727.54,-78.90
2730.47,-73.66
2733.40,-76.37
2736.33,-78.39
2739.26,-77.07
2742.19,-74.25
2745.12,-73.40
2748.05,-74.09
2750.98,-77.73
2753.91,-76.32
2756.84,-72.95
2759.77,-75.95
2762.70,-86.29
2765.63,-79.05
2768.55,-76.63
2771.48,-80.11
2774.41,-78.44
2777.34,-75.21
2780.27,-77.84
2783.20,-75.17
2786.13,-72.21
2789.06,-74.06
2791.99,-75.43
2794.92,-71.64
2797.85,-72.81
2800.78,-78.85
2803.71,-76.61
2806.64,-76.35
2809.57,-78.49
2812.50,-79.45
2815.43,-82.67
2818.36,-78.25
2821.29,-75.06
2824.22,-73.35
2827.15,-75.30
2830.08,-76.36
2833.01,-71.67
2835.94,-71.82
2838.87,-73.89
2841.80,-75.34
2844.73,-73.19
2847.66,-72.78
2850.59,-75.65
2853.52,-78.51
2856.45,-75.83
2859.38,-71.36
2862.30,-75.38
2865.23,-80.90
2868.16,-74.93
2871.09,-77.96
2874.02,-78.92
2876.95,-80.99
2879.88,-82.81
2882.81,-74.83
2885.74,-73.49
2888.67,-78.21
2891.60,-79.06
2894.53,-72.80
2897.46,-73.37
2900.39,-75.31
2903.32,-75.03
2906.25,-74.93
2909.18,-76.16
2912.11,-81.05
2915.04,-90.47
2917.97,-88.41
2920.90,-79.76
2923.83,-81.29
2926.76,-84.65
2929.69,-81.38
2932.62,-81.85
2935.55,-82.85
2938.48,-83.80
2941.41,-86.94
2944.34,-82.52
2947.27,-79.12
2950.20,-82.75
2953.13,-82.60
2956.05,-82.98
2958.98,-81.40
2961.91,-77.00
2964.84,-78.88
2967.77,-78.52
2970.70,-73.19
2973.63,-73.40
2976.56,-76.85
2979.49,-72.52
2982.42,-71.65
2985.35,-74.16
2988.28,-72.54
2991.21,-70.55
2994.14,-73.79
2997.07,-76.62
3000.00,-73.24
3002.93,-75.45
3005.86,-81.13
3008.79,-75.89
3011.72,-75.14
3014.65,-79.41
3017.58,-75.51
3020.51,-76.48
3023.44,-78.64
3026.37,-74.34
3029.30,-74.23
3032.23,-80.31
3035.16,-75.60
3038.09,-71.61
3041.02,-74.69
3043.95,-76.36
3046.88,-70.94
3049.80,-71.31
3052.73,-78.39
3055.66,-76.38
3058.59,-71.54
3061.52,-72.52
3064.45,-74.57
3067.38,-72.08
3070.31,-70.87
3073.24,-71.83
3076.17,-73.68
3079.10,-73.49
3082.03,-73.73
3084.96,-77.98
3087.89,-82.49
3090.82,-82.20
3093.75,-80.94
3096.68,-84.70
3099.61,-81.80
3102.54,-79.87
3105.47,-86.73
3108.40,-79.01
3111.33,-76.39
3114.26,-79.59
3117.19,-79.37
3120.12,-75.77
3123.05,-77.87
3125.98,-83.38
3128.91,-79.82
3131.84,-79.97
3134.77,-80.31
3137.70,-79.32
3140.63,-77.23
3143.55,-73.36
3146.48,-71.54
3149.41,-73.04
3152.34,-74.93
3155.27,-76.15
3158.20,-77.58
3161.13,-79.62
3164.06,-80.99
3166.99,-83.76
3169.92,-78.93
3172.85,-75.17
3175.78,-75.46
3178.71,-81.87
3181.64,-76.48
3184.57,-72.97
3187.50,-75.78
3190.43,-77.47
3193.36,-71.21
3196.29,-70.66
3199.22,-74.90
3202.15,-74.75
3205.08,-70.92
3208.01,-72.46
3210.94,-75.87
3213.87,-76.48
3216.80,-77.83
3219.73,-77.80
3222.66,-77.32
3225.59,-77.52
3228.52,-78.07
3231.45,-75.68
3234.38,-73.81
3237.30,-75.98
3240.23,-78.11
3243.16,-81.28
3246.09,-79.93
3249.02,-76.53
3251.95,-82.76
3254.88,-84.28
3257.81,-79.67
3260.74,-83.85
3263.67,-86.43
3266.60,-86.99
3269.53,-84.60
3272.46,-84.81
